P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
W-LUM-50-005,Baluhawa,Kapilbastu,Western,0.001,0.005000000000000001,0.6465222348916762,0.664,0.710124826629681,0.034836065573770496,0.0356,Low
C-NAR-32-092,Saruatha,Rautahat,Central,0.010000000000000002,0.008,0.3660205245153934,0.9140000000000001,0.7128987517337031,0.07581967213114754,0.07590000000000001,Medium-Low
W-LUM-46-063,Paralmi,Gulmi,Western,0.0,0.003,0.6351197263397947,0.333,0.47434119278779474,0.012295081967213115,0.01248,Lowest
W-DHA-43-036,Room,Myagdi,Western,0.0,0.006,0.03762827822120868,0.269,0.06657420249653256,0.012295081967213115,0.01243,Lowest
C-NAR-34-036,Jaiamangalapur,Parsa,Central,0.008,0.006,0.41961231470923605,0.6070000000000001,0.5325936199722607,0.05942622950819672,0.0587,Low
E-KOS-06-037,Narshinhatappu,Sunsari,Eastern,0.001,0.022000000000000002,0.44127708095781076,0.606,0.5450762829403606,0.05327868852459017,0.05238000000000001,Low
W-LUM-49-049,Padsari,Rupandehi,Western,0.003,0.010000000000000002,0.7571265678449259,0.29500000000000004,0.521497919556172,0.05122950819672131,0.05204,Low
M-KAR-66-016,Melchham,Humla,Mid-Western,0.0,0.001,0.43671607753705816,1.0,0.8155339805825242,0.004098360655737705,0.0037300000000000002,Lowest
W-DHA-44-041,Pang,Parbat,Western,0.0,0.005000000000000001,0.6362599771949828,0.248,0.41608876560332864,0.018442622950819672,0.01905,Lowest
F-SET-69-047,Mangalsen,Achham,Far-Western,0.0,0.011000000000000001,0.830102622576967,0.9210000000000002,0.9999999999999999,0.0,0.0,Lowest
W-GAN-36-010,Bihi,Gorkha,Western,0.033,0.001,0.6009122006841505,0.521,0.5839112343966713,0.04713114754098361,0.04712,Low
F-SET-70-007,Chhapali,Doti,Far-Western,0.0,0.003,0.8665906499429874,0.8260000000000001,0.9570041608876559,0.0,0.0,Lowest
W-LUM-50-068,Shivagadhi,Kapilbastu,Western,0.001,0.007000000000000001,0.6465222348916762,0.664,0.710124826629681,0.026639344262295084,0.02681,Low
E-SAG-16-062,Lagadigodh,Siraha,Eastern,0.005000000000000001,0.004,0.21550741163055875,0.797,0.5409153952843272,0.045081967213114756,0.04546,Low
C-JAN-20-049,SunamPokhari,Sindhuli,Central,0.005000000000000001,0.003,0.4583808437856329,0.655,0.5894590846047156,0.0389344262295082,0.03964,Low
E-SAG-16-083,Navarajpur,Siraha,Eastern,0.004,0.009,0.21550741163055875,0.797,0.5409153952843272,0.05532786885245902,0.05544,Low
E-MEC-03-007,Danabari,Ilam,Eastern,0.0,0.015,0.1459521094640821,0.319,0.1664355062413314,0.0,0.0,Lowest
E-MEC-03-010,Ektappa,Ilam,Eastern,0.0,0.005000000000000001,0.1459521094640821,0.319,0.1664355062413314,0.0,0.0,Lowest
F-MAH-74-063,Udayadeb,Baitadi,Far-Western,0.0,0.005000000000000001,1.0,0.331,0.6934812760055478,0.0,0.0,Lowest
E-SAG-16-077,Mauwahi,Siraha,Eastern,0.004,0.004,0.21550741163055875,0.797,0.5409153952843272,0.04098360655737705,0.04061000000000001,Low
E-KOS-06-018,DharanN. P.,Sunsari,Eastern,0.001,0.119,0.44127708095781076,0.606,0.5450762829403606,0.07172131147540983,0.07132,Medium-Low
C-JAN-20-019,Jalkanya,Sindhuli,Central,0.074,0.002,0.4583808437856329,0.655,0.5894590846047156,0.08811475409836066,0.08867000000000001,Medium-Low
M-KAR-62-018,Sahartara,Dolpa,Mid-Western,0.0,0.002,0.42075256556442425,0.8570000000000001,0.7059639389736476,0.012295081967213115,0.0123,Lowest
E-MEC-01-033,Phurumbu,Taplejung,Eastern,0.0,0.002,0.33637400228050174,0.303,0.27184466019417475,0.00819672131147541,0.00852,Lowest
W-LUM-50-045,Labani,Kapilbastu,Western,0.002,0.007000000000000001,0.6465222348916762,0.664,0.710124826629681,0.0430327868852459,0.04279,Low
M-RAP-53-037,Pang,Rolpa,Mid-Western,0.0,0.005000000000000001,0.6921322690992018,0.674,0.7447988904299584,0.012295081967213115,0.01324,Lowest
M-RAP-53-015,Gumchal,Rolpa,Mid-Western,0.0,0.004,0.6921322690992018,0.674,0.7447988904299584,0.012295081967213115,0.01182,Lowest
M-RAP-53-032,Masina,Rolpa,Mid-Western,0.0,0.005000000000000001,0.6921322690992018,0.674,0.7447988904299584,0.012295081967213115,0.013020000000000002,Lowest
E-SAG-15-099,Rampuramalhaniya,Saptari,Eastern,0.002,0.007000000000000001,0.0,0.667,0.319001386962552,0.034836065573770496,0.034,Low
W-DHA-43-021,Lulang,Myagdi,Western,0.0,0.002,0.03762827822120868,0.269,0.06657420249653256,0.006147540983606557,0.007000000000000001,Lowest
F-SET-69-024,Dhodasain,Achham,Far-Western,0.0,0.005000000000000001,0.830102622576967,0.9210000000000002,0.9999999999999999,0.0,0.0,Lowest
E-SAG-15-074,Madhupatti,Saptari,Eastern,0.003,0.005000000000000001,0.0,0.667,0.319001386962552,0.036885245901639344,0.03753000000000001,Low
W-GAN-38-031,Kyamin,Tanahu,Western,0.011000000000000001,0.005000000000000001,0.5997719498289624,0.404,0.5020804438280166,0.06352459016393443,0.06437000000000001,Medium-Low
